mlbam_id,pitcher_name,test_accuracy,num_pitch_types,predictability_score,xwoba_against,barrel_percent_against,PS_xwoba,PS_barrel
686752,"Pepiot, Ryan",0.5447761416435242,6,0.453731,0.382549,0.08649,0.836,0.54
657746,"Ryan, Joe",0.5400000214576721,6,0.448,0.367629,0.09565,0.816,0.544
669022,"Gore, MacKenzie",0.5428571701049805,5,0.428571,0.404655,0.08077999999999999,0.833,0.509
656302,"Cease, Dylan",0.512499988079071,6,0.415,0.387852,0.08929000000000001,0.803,0.504
686613,"Brown, Hunter",0.5088757276535034,6,0.410651,0.361287,0.052309999999999995,0.772,0.463
669358,"Baz, Shane",0.5231788158416748,5,0.403974,0.372687,0.08356999999999999,0.777,0.488
642547,"Peralta, Freddy",0.5406976938247681,4,0.387597,0.368102,0.08406000000000001,0.756,0.472
668678,"Gallen, Zac",0.4883720874786377,6,0.386047,0.411041,0.09813000000000001,0.797,0.484
680730,"Parker, Mitchell",0.529411792755127,4,0.372549,0.406375,0.07971,0.779,0.452
592662,"Ray, Robbie",0.4939759075641632,5,0.36747,0.35509,0.07592,0.723,0.443
656427,"Flaherty, Jack",0.47200000286102295,5,0.34,0.409486,0.10618999999999999,0.749,0.446
663978,"Paddack, Chris",0.4452054798603058,6,0.334247,0.395997,0.08537,0.73,0.42
605488,"Springs, Jeffrey",0.4571428596973419,5,0.321429,0.369207,0.06616,0.691,0.388
601713,"Pivetta, Nick",0.4166666567325592,7,0.319444,0.397346,0.09366,0.717,0.413
701542,"Warren, Will",0.4523809552192688,5,0.315476,0.395579,0.08256999999999999,0.711,0.398
671096,"Abbott, Andrew",0.4444444477558136,5,0.305556,0.348287,0.0678,0.654,0.373
592332,"Gausman, Kevin",0.4749999940395355,4,0.3,0.375829,0.07105,0.676,0.371
554430,"Wheeler, Zack",0.4134078323841095,6,0.296089,0.343042,0.06301,0.639,0.359
663559,"Falter, Bailey",0.4324324429035187,5,0.290541,0.377036,0.07969,0.668,0.37
656605,"Keller, Mitch",0.4037266969680786,6,0.284472,0.363846,0.06294,0.648,0.347
676979,"Crochet, Garrett",0.4161490797996521,5,0.270186,0.372035,0.06452,0.642,0.335
808967,"Yamamoto, Yoshinobu",0.3896103799343109,6,0.267532,0.329947,0.04902,0.597,0.317
669467,"Pallante, Andre",0.4444444477558136,4,0.259259,0.355429,0.06444,0.615,0.324
668909,"Williams, Gavin",0.3815789520740509,6,0.257895,0.366822,0.07283,0.625,0.331
676440,"Bibee, Tanner",0.3777777850627899,6,0.253333,0.360827,0.07022,0.614,0.324
694973,"Skenes, Paul",0.35260117053985596,7,0.244701,0.322224,0.03989,0.567,0.285
693433,"Woo, Bryan",0.3913043439388275,5,0.23913,0.358793,0.08065,0.598,0.32
622379,"Castillo, Luis",0.4268292784690857,4,0.235772,0.381107,0.03448,0.617,0.27
542881,"Anderson, Tyler",0.3589743673801422,6,0.230769,0.388586,0.09974,0.619,0.331
594798,"deGrom, Jacob",0.4150943458080292,4,0.220126,0.374548,0.08356,0.595,0.304
671106,"Allen, Logan",0.37599998712539673,5,0.22,0.376261,0.08832000000000001,0.596,0.308
579328,"Kikuchi, Yusei",0.4098360538482666,4,0.213115,0.400926,0.07843,0.614,0.292
657277,"Webb, Logan",0.3636363744735718,5,0.204545,0.399304,0.07335,0.604,0.278
663623,"Irvin, Jake",0.3333333432674408,6,0.2,0.401653,0.10064000000000001,0.602,0.301
605135,"Bassitt, Chris",0.29801324009895325,8,0.197729,0.384356,0.07925,0.582,0.277
694297,"Pfaadt, Brandon",0.32894736528396606,6,0.194737,0.447139,0.11982,0.642,0.315
518876,"Kelly, Merrill",0.3221476376056671,6,0.186577,0.389808,0.08205,0.576,0.269
678394,"Bello, Brayan",0.34210526943206787,5,0.177632,0.364614,0.05753,0.542,0.235
608379,"Wacha, Michael",0.31468531489372253,6,0.177622,0.360121,0.07363,0.538,0.251
663903,"Singer, Brady",0.3333333432674408,5,0.166667,0.38624,0.08579,0.553,0.252
665152,"Kremer, Dean",0.3265306055545807,5,0.158163,0.371106,0.06566,0.529,0.224
622663,"Severino, Luis",0.29411765933036804,6,0.152941,0.374766,0.050339999999999996,0.528,0.203
605280,"Holmes, Clay",0.29078012704849243,6,0.148936,0.360462,0.06383,0.509,0.213
641793,"Littell, Zack",0.29914531111717224,5,0.123932,0.391789,0.09503,0.516,0.219
608372,"Sugano, Tomoyuki",0.26724138855934143,6,0.12069,0.419731,0.09974999999999999,0.54,0.22
543243,"Gray, Sonny",0.24031007289886475,7,0.113695,0.402875,0.08228999999999999,0.517,0.196
656849,"Peterson, David",0.2846153974533081,5,0.105769,0.378826,0.054400000000000004,0.485,0.16
607625,"Lugo, Seth",0.20000000298023224,9,0.1,0.418161,0.08929000000000001,0.518,0.189
664285,"Valdez, Framber",0.31612902879714966,4,0.088172,0.365318,0.059109999999999996,0.453,0.147
608331,"Fried, Max",0.1875,7,0.052083,0.365479,0.06636,0.418,0.118
666157,"Lodolo, Nick",0.276729553937912,4,0.035639,0.370025,0.07672,0.406,0.112
669373,"Skubal, Tarik",0.22580644488334656,5,0.032258,0.366313,0.06799000000000001,0.399,0.1
